freq,unit,indic_nrg,geo\TIME_PERIOD,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
M,NR,CDD,IT,0,0,0,0.11,2.24,17.92,95.9,101.01,22.3,0.12,0,0,0,0,0,0.01,0,68.2,105.75,113.06,18.33,0.48,0,0,0,0,0,0,2.21,17.63,77.1,114.71,28.97,0.96,0,0,0,0,0,0,0.27,53.68,105.61,108.73,20.08,0.25,0,0,0,0,0,0,7.08,82.88,144.47,108.99,31.41,0.37,0,0,0,0,0,0,0.04,30.7,132.07,102.57,32.3,3.09,0.01,0
M,NR,CDD,LT,0,0,0,0,0,0,15.21,9.86,0,0,0,0,0,0,0,0,0,11.09,0.18,0.27,0,0,0,0,0,0,0,0,0,0.92,0,0.21,0,0,0,0,0,0,0,0,0,15.02,33.95,0,0,0,0,0,0,0,0,0,0,3.65,2.79,12.87,0,0,0,0,0,0,0,0,0,0,0.64,16.02,0,0,0,0
M,NR,CDD,LU,0,0,0,0,0,0.73,26.31,24.83,0,0,0,0,0,0,0,0,0,22.96,29.44,7.02,0,0,0,0,0,0,0,0,0,0,4.52,46.72,4.37,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,7.59,12.87,9.41,0,0,0,0,0,0,0,0,0,0,1.27,0.45,0,0,0,0
M,NR,CDD,LV,0,0,0,0,0,0,17.68,6.41,0,0,0,0,0,0,0,0,0,2.66,0.56,0.01,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,14.63,27.83,0,0,0,0,0,0,0,0,0,0,6.35,1.01,6.24,0,0,0,0,0,0,0,0,0,0,0.03,8.74,0,0,0,0
M,NR,CDD,MT,0,0,0,0,0.12,70.55,204.63,200.68,143.44,6.19,0,0,0,0,0,0,0,158.98,219.93,228.82,136.37,12.12,0,0,0,0,0,0,20.36,57.74,191.1,240.89,135.44,26.74,0,0,0,0,0,0,2.45,124.28,231.58,262.48,160.08,12.49,0,0,0,0,0,0,16.61,189.02,242.85,230.84,150.04,12.36,0,0,0,0,0,0,0,83.81,275.29,201.35,127.57,54.37,8.54,0
M,NR,CDD,NL,0,0,0,0,2.07,0,23.79,5.05,0,0,0,0,0,0,0,0,0,9.97,24.78,4.92,0,0,0,0,0,0,0,0,0,2.08,0.79,36.87,0.35,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0.01,0.85,7.54,9.74,0,0,0,0,0,0,0,0,0,3.96,4.68,0.44,1.78,0,0,0
M,NR,CDD,NO,0,0,0,0,0,0,1.16,0.12,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.27,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,NR,CDD,PL,0,0,0,0,0.08,1.31,7.49,20.82,0.04,0,0,0,0,0,0,0,0,24.76,11.28,10.57,2.38,0,0,0,0,0,0,0,0,1.38,1.14,8.65,0,0,0,0,0,0,0,0,0,14.36,14.2,0.54,0,0,0,0,0,0,0,0,0,11.93,11.84,16.88,0,0,0,0,0,0,0,0,0,1.01,5.57,19.5,0,0,0,0
M,NR,CDD,PT,0,0,0,0,0,26.06,15.39,120.89,69.52,2.46,0,0,0,0,0,0,15.23,13.08,47.05,56.14,33.41,2.13,0,0,0,0,0,0.05,16.16,18.49,128.98,62.79,39.96,0.01,0,0,0,0,0,0,1,13.83,45.92,58.97,13.03,0.48,0,0,0,0,0,0,10.34,38.74,139.77,79.34,18.4,0.73,0,0,0,0,0,2.92,0.8,41.84,48.48,108.13,13.69,19.13,0,0
M,NR,CDD,RO,0,0,0,0,0.07,14.04,19.35,45.22,5.99,0,0,0,0,0,0,0,0.09,35.32,28.78,57.01,2.4,0.02,0,0,0,0,0,0,0.12,10.68,35.88,42.43,6.77,0.45,0,0,0,0,0,0,0,26.15,69.78,41.45,0.56,0,0,0,0,0,0,0,0.03,17.66,64.77,60.78,2.34,0.03,0,0,0,0,0,0,0,9.29,58.71,80.76,4.86,0.13,0,0
M,NR,CDD,SE,0,0,0,0,0,0,2.87,2.03,0,0,0,0,0,0,0,0,0,0.1,0.87,0.01,0,0,0,0,0,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0,0.18,0.81,0,0,0,0,0,0,0,0,0,0,0.38,0.93,0.26,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
M,NR,CDD,SI,0,0,0,0,0,3.75,12.85,36.37,0.06,0,0,0,0,0,0,0,0,19.29,32.7,19.47,1.2,0,0,0,0,0,0,0,0,1.85,11.74,15.58,0.49,0,0,0,0,0,0,0,0,24.78,23.58,15.46,0,0,0,0,0,0,0,0,0.05,18.94,37.37,24.1,0.7,0,0,0,0,0,0,0,0,10.71,25.01,31.01,0.13,0,0,0
M,NR,CDD,SK,0,0,0,0,0.1,2.32,13.27,37.05,0.32,0,0,0,0,0,0,0,0,23.78,17.27,22.56,1.48,0,0,0,0,0,0,0,0,1.48,5.52,12.92,0,0,0,0,0,0,0,0,0,22.13,34.17,5.98,0,0,0,0,0,0,0,0,0,15.15,29.06,23.56,0,0,0,0,0,0,0,0,0,4.65,13.2,28.59,0,0,0,0
M,NR,HDD,AT,514.15,592.82,503.31,163.73,88.07,46.71,19.93,24.36,87.98,219.13,391.24,542.22,625.35,441.02,382.63,272.76,248.64,14.96,24.24,19.78,107.88,230.26,394,517.98,555.07,425.52,429.71,248.47,188.9,68.22,33.24,24.45,95.26,288.94,415.61,548.98,618.7,458.26,456.81,366.48,235.99,29.63,24.23,62.39,86.09,296.71,438.71,559.44,552.26,445.39,446.07,329.11,105.4,23.83,18.23,18.45,156.01,183.53,396.93,553.6,531.18,459.12,391.41,346.21,167.14,39.15,20.07,42,38.52,170.14,425.85,516.85
M,NR,HDD,BE,385.22,486.05,399.35,159.21,83.02,22.91,0.89,12.15,79.61,174.44,323.3,385,475.29,316.84,307.96,217.06,193.25,24.41,14.36,5.81,68.48,177.21,347.73,383.95,389.62,321.68,345.42,173.55,131.31,37.78,17.12,5.13,50.44,202.34,272.61,392.09,475.08,362.47,348.33,341.4,210.6,19.99,3.63,17.56,43.62,202.88,354.09,391.27,433.56,326.44,316.36,260.69,95.72,25.53,3.26,1.19,101.16,95.08,275.9,442.17,410.06,348.7,331.09,283.02,130.07,6.55,5.26,21.6,21.21,135.07,311,359.66
M,NR,HDD,BG,481.01,425.06,370.62,71.43,11.07,4.84,0.8,0.1,38.25,105.38,332.7,510.84,530,389.07,264.83,198.47,63.36,3.3,1.82,0.37,14.81,83.62,192.51,410.4,482.03,350.39,304.17,206.59,65.14,12.05,0.95,0.25,7.73,91.29,330.49,396.27,457.41,367.82,398.52,249.41,42.71,17.46,0.2,0.22,26.12,221.36,278.56,443.28,493.36,364.92,434.23,182.71,60.63,1.73,1.94,0.2,35.36,103.55,236.13,392.33,393.35,383.26,305.55,223.51,80.45,3.53,0.21,0.77,2.07,47.14,257.2,383.96
M,NR,HDD,CY,174.13,111.35,49.37,5.5,0,0,0,0,0,0.75,13.67,115.98,209.62,162.03,133.76,61.55,2.76,0,0,0,0,0,5.97,117.37,216.15,174.24,99.72,28.52,1.11,0,0,0,0,0,13.13,93.56,148.89,137.53,138.86,56.81,0,0,0,0,0,0,3.68,124.07,218.5,159.21,232.05,17.88,0.21,0,0,0,0,0,8.81,59.3,142.03,207.61,79.47,29.77,1.53,0,0,0,0,0,18.07,51.29
M,NR,HDD,CZ,486.38,581.79,513.37,127.2,49.74,27.43,12.02,7.55,75.74,212.64,394.9,506.88,596.09,431.64,354,243.49,204.3,0.25,11.58,1.87,91.46,221.64,358.18,483.57,537.64,393.37,407.57,253.75,195.55,33.63,20.01,4.77,84.1,249.53,404.65,494.37,575.58,509.52,445.41,355.63,212.94,14.53,4.34,37.93,61.56,278.32,417.02,539.61,525.37,403.4,434.93,330.59,95.32,7.63,12.35,3.43,135.29,195.49,396.87,542.64,480.19,450.88,387.06,324.58,156.33,28.45,2.53,21.23,18.46,172.83,395.39,484.04
M,NR,HDD,DE,434.27,543.3,470.87,149.37,63.02,22.67,3.53,11.04,73.26,200.05,370.89,432.68,529.89,376.06,336.97,237.95,201.98,4.22,16.58,3.48,86.66,198.22,373.64,435.16,445.21,357.42,381.56,226.18,176.04,33.74,18.03,6.56,76.01,222.86,340.3,457.12,530.5,445.33,392.66,347.14,211.34,7.23,3.59,22.94,56.85,239.78,382.27,474.56,462.78,367.5,388.49,299.09,99.91,18.98,5.65,1.35,115.61,140.12,336.64,500.2,438.39,401.06,362.95,300.41,137.69,14.39,6.22,16.09,23.49,168.8,362.16,430.23
M,NR,HDD,DK,479.46,515.88,541.81,267.95,84.95,34.15,5.05,18.11,91.17,226.49,358.66,424.86,497.7,376.5,384.34,289.7,241.89,35.91,40.83,10.3,114.02,259.4,366.5,409.71,387.48,378.52,413.2,306.95,239.63,45.75,73.43,21.51,96.42,228.04,305.09,425.38,533.92,494.74,427.18,371.06,239.51,41.02,0.74,24.88,78.53,225.77,332.98,493.44,428.29,383.7,428.18,339.63,192.41,75.22,28.81,15.8,117.34,184.68,311.14,513.94,438.89,391.95,438.8,322.67,201.14,39.87,36.11,28.38,25.28,238.13,401.43,471.75
M,NR,HDD,EE,617.3,717.35,666.7,343.84,107.86,78.6,18.08,14.95,104.11,323.16,451.99,620.7,716.39,506.46,521.59,334.16,229.07,23.64,67.22,33.98,169.48,332.67,455.86,492.53,480.65,485.36,485,393.98,275.83,33.51,38.91,37.55,100.93,266.63,397.71,558.37,669.67,686.08,556.5,387.81,230.54,16.22,0.32,45.32,216.24,302.24,453.91,718.25,623.37,519.07,546.78,415.2,253.78,49.87,16.15,12.04,241.97,296.11,476.05,667.19,607.11,556.85,547.42,340.75,232.62,76.62,15.48,3.24,53.21,378.22,515.88,657.82
M,NR,HDD,EL,331.32,262.57,190.97,42.68,3.28,0.99,0,0,10.88,31.05,156.23,341.77,399.14,285.08,205.18,133.55,38.13,2.63,0.15,0,1.87,20.22,88.88,274.16,364.9,271.42,225.56,149.08,26.55,3.35,0,0.07,1.46,39.64,176.24,233.16,297.84,255.93,275.95,152.9,10.22,3.43,0.01,0,3.29,85.94,145.22,304.88,379.5,279,339.06,116.99,24.94,0.28,0.19,0,9.07,37.39,128.47,222.73,288.91,302.37,219.07,147.71,32.89,0.32,0,0.01,0.28,10.46,123.36,250.42
M,NR,HDD,ES,321.1,334.15,279.61,155.84,74.78,19.02,0.82,0.65,1.69,98.65,221.79,288.53,360.56,249.57,208.17,176.55,65.67,21.51,0.73,1.26,9.3,69.83,234.86,272.71,334.16,198.08,212.77,125.44,35.91,21.41,0.99,4.53,17.04,115.2,172.12,316.87,373.18,213.22,227.33,148.78,69.63,10.78,3.32,1.32,10.86,67.76,265.16,271.73,338.99,235.19,243.86,177.2,32.56,6.19,0.52,0.41,16.74,20.08,168.68,237.85,346.96,295.82,168.85,85.39,54.1,2.98,0.48,1.7,6.08,49.43,164.76,305.09
M,NR,HDD,EU27_2020,479.71,523.7,471.6,203.52,84.64,46.6,8.18,26.29,79.66,203.58,344.6,468.82,561.65,399.84,362.26,252.28,172.42,35.51,29.48,23.34,92.61,206.02,350.37,423.51,456.86,374.8,374.24,248.51,161.06,36.04,30.96,26.18,81.08,211.16,319.68,438.59,540.98,443.26,400.65,305.9,173.15,26.37,10.92,38.44,94.14,224.62,371.23,496.65,499.91,397.77,399.47,290.66,122.7,33.26,17.96,18.23,118.16,158.51,328.13,472.87,460.73,422.23,384.71,274.04,137.42,32.53,17.71,21.99,43.87,192.05,365.72,467.92
M,NR,HDD,FI,783.16,845.12,829.63,489.82,201.76,167.54,18.67,90.38,219.63,455.83,520.24,727.81,924.11,686.27,687.99,439.34,330.26,119.21,121.79,111.66,265.64,516.69,640.24,639.77,664.41,652.91,630.27,527.75,372.71,66.48,84.75,108.88,230.45,397.25,498.98,638.63,847.34,837.57,678.04,484.68,333.95,57.22,40.43,126.51,318.17,415.06,624.46,859.94,802.27,696.82,634.94,520.09,325.46,110.51,45.86,71.41,300.6,413.1,591.98,763.78,705.75,675.98,773.19,498.91,283.41,121.78,67.02,64.12,157.08,542.04,710.94,836.79
